rho0_c,phi_c,status,omega_shoot,omega_phys,alpha_inf,M_total,M_baryon_rest,M_boson_rest,N_baryon,N_boson,R_fluid,R_baryon_99,R_boson_99,R_total_99,rest_mass,binding_energy,mass_defect,relative_binding_energy,M_fluid_grav,M_scalar_grav,nodes,phi_end
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000139e-02,1.000000000000000000e+00,1.063677701394772246e+00,9.687772679293366052e-01,1.097958980466455126e+00,5.065080688906997697e-01,0.000000000000000000e+00,5.148913390504392673e-01,0.000000000000000000e+00,5.148913390504392673e-01,nan,nan,1.438479521240413206e+01,1.447815966255418196e+01,5.148913390504392673e-01,-8.383270159739497629e-03,8.383270159739497629e-03,-1.628162978076091658e-02,0.000000000000000000e+00,5.065080688851639756e-01,0.000000000000000000e+00,5.746564624244367907e-09
0.000000000000000000e+00,5.000000000000000278e-02,1.000000000000000000e+00,1.141267984913429512e+00,9.238778013084716356e-01,1.235301880072312564e+00,6.102380250036276710e-01,0.000000000000000000e+00,6.271753171169250907e-01,0.000000000000000000e+00,6.271753171169250907e-01,nan,nan,1.013004384128042545e+01,1.021673940213404386e+01,6.271753171169250907e-01,-1.693729211329741968e-02,1.693729211329741968e-02,-2.700567393365670144e-02,0.000000000000000000e+00,6.102380250063920153e-01,0.000000000000000000e+00,1.140182768079634509e-08
0.000000000000000000e+00,7.500000000000001110e-02,1.000000000000000000e+00,1.236911494558444069e+00,8.835785056724421160e-01,1.399888619537094758e+00,6.329449769910455714e-01,0.000000000000000000e+00,6.529375860438222379e-01,0.000000000000000000e+00,6.529375860438222379e-01,nan,nan,7.855952591197064905e+00,7.962654819939979589e+00,6.529375860438222379e-01,-1.999260905277666645e-02,1.999260905277666645e-02,-3.061947953389047503e-02,0.000000000000000000e+00,6.329449769925610259e-01,0.000000000000000000e+00,5.464585734561663605e-08
0.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,1.355773337493883623e+00,8.494813580023331534e-01,1.596001283279673721e+00,6.217954799333103022e-01,0.000000000000000000e+00,6.395458098669266622e-01,0.000000000000000000e+00,6.395458098669266622e-01,nan,nan,6.502168064021340399e+00,6.615539182060686585e+00,6.395458098669266622e-01,-1.775032993361636002e-02,1.775032993361636002e-02,-2.775458717696822203e-02,0.000000000000000000e+00,6.217954799335505545e-01,1.000000000000000000e+00,-6.942559455729708103e-08
7.500000000000000156e-04,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.219965575322711882e+00,1.101461783173048881e+00,1.161466249940303452e+00,0.000000000000000000e+00,1.161466249940303452e+00,0.000000000000000000e+00,1.051017053117705657e+01,1.003667939113037555e+01,nan,1.002334161253751077e+01,1.161466249940303452e+00,-6.000446676725457174e-02,6.000446676725457174e-02,-5.166268651399785056e-02,1.101461901019576306e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000156e-04,2.500000000000000139e-02,1.000000000000000000e+00,1.106773800501832827e+00,9.101398487455528707e-01,1.216048063412783042e+00,7.958781394252201213e-01,6.205360484680247923e-01,2.109153886837203118e-01,6.205360484680247923e-01,2.109153886837203118e-01,8.982994882294097039e+00,8.562854856618871580e+00,1.018339495565188280e+01,8.769590424808267670e+00,8.314514371517450764e-01,-3.557329772652495503e-02,3.557329772652495503e-02,-4.278457662949785439e-02,5.907807261776779617e-01,2.050974448740325307e-01,0.000000000000000000e+00,1.977688683538880095e-08
7.500000000000000156e-04,5.000000000000000278e-02,1.000000000000000000e+00,1.162845353240845814e+00,9.154177562990221118e-01,1.270289269832560741e+00,5.961617012359288204e-01,1.159402930000836829e-01,5.002166881268019782e-01,1.159402930000836829e-01,5.002166881268019782e-01,5.015005750916971650e+00,4.788263514838279278e+00,9.436479354451481782e+00,9.256419343447815251e+00,6.161569811268856611e-01,-1.999527989095684077e-02,1.999527989095684077e-02,-3.245160000360232389e-02,1.109337101282121818e-01,4.852280511400680618e-01,1.000000000000000000e+00,-1.298304337297415166e-08
7.500000000000000156e-04,7.500000000000001110e-02,1.000000000000000000e+00,1.248213002952979878e+00,8.838588297873061217e-01,1.412231185440951942e+00,6.180665085884351484e-01,2.351177032533470490e-02,6.145935537094756596e-01,2.351177032533470490e-02,6.145935537094756596e-01,2.807603393797932334e+00,2.694232275758586148e+00,7.789263698232743671e+00,7.849283701900633403e+00,6.381053240348103506e-01,-2.003881544637520218e-02,2.003881544637520218e-02,-3.140361738351838544e-02,2.268785598129409095e-02,5.953785667756997801e-01,0.000000000000000000e+00,4.372178976122623488e-08
7.500000000000000156e-04,1.000000000000000056e-01,1.000000000000000000e+00,1.362188905087533097e+00,8.503593391350914299e-01,1.601897977004672402e+00,6.159468588196337357e-01,6.385425464864877623e-03,6.272354285948532615e-01,6.385425464864877623e-03,6.272354285948532615e-01,1.780594442147382273e+00,1.713905549183060817e+00,6.502168064021340399e+00,6.602201403467821805e+00,6.336208540597181305e-01,-1.767399524008439471e-02,1.767399524008439471e-02,-2.789364511417839060e-02,6.221007332256254380e-03,6.097257983104600321e-01,0.000000000000000000e+00,1.737576058723928851e-07
